filepath,label
inme\yok\17004.png,0
inme\yok\15510.png,0
inme\yok\14807.png,0
inme\yok\11589.png,0
inme\var_kanama/PNG\11789.png,1
inme\var_kanama/PNG\10309.png,1
inme\var_kanama/PNG\14556.png,1
inme\var_kanama/PNG\11776.png,1
inme\yok\10215.png,0
inme\yok\11057.png,0
inme\yok\14660.png,0
inme\yok\13162.png,0
inme\yok\11696.png,0
inme\yok\16306.png,0
inme\var_iskemi/PNG\14335.png,1
inme\var_kanama/PNG\14012.png,1
inme\var_iskemi/PNG\11134.png,1
inme\yok\11503.png,0
inme\yok\13720.png,0
inme\yok\16731.png,0
inme\yok\12249.png,0
inme\yok\15186.png,0
inme\var_kanama/PNG\11119.png,1
inme\yok\14471.png,0
inme\yok\10615.png,0
inme\yok\16627.png,0
inme\var_kanama/PNG\16701.png,1
inme\var_iskemi/PNG\15932.png,1
inme\var_kanama/PNG\11498.png,1
inme\var_iskemi/PNG\14901.png,1
inme\yok\10071.png,0
inme\yok\10411.png,0
inme\yok\10281.png,0
inme\var_kanama/PNG\16622.png,1
inme\yok\15178.png,0
inme\var_iskemi/PNG\14017.png,1
inme\yok\16995.png,0
inme\yok\12638.png,0
inme\yok\14346.png,0
inme\yok\14103.png,0
inme\yok\16379.png,0
inme\var_iskemi/PNG\10575.png,1
inme\yok\11745.png,0
inme\var_iskemi/PNG\11998.png,1
inme\yok\16269.png,0
inme\yok\10451.png,0
inme\yok\11369.png,0
inme\var_iskemi/PNG\15682.png,1
inme\yok\16095.png,0
inme\var_iskemi/PNG\15988.png,1
inme\yok\12145.png,0
inme\yok\14349.png,0
inme\var_iskemi/PNG\13096.png,1
inme\yok\16156.png,0
inme\var_iskemi/PNG\10479.png,1
inme\yok\16547.png,0
inme\yok\13638.png,0
inme\var_iskemi/PNG\12306.png,1
inme\var_iskemi/PNG\12741.png,1
inme\yok\13993.png,0
inme\var_kanama/PNG\13624.png,1
inme\yok\13316.png,0
inme\yok\12272.png,0
inme\var_kanama/PNG\14308.png,1
inme\var_kanama/PNG\12684.png,1
inme\yok\12813.png,0
inme\yok\12110.png,0
inme\var_iskemi/PNG\13442.png,1
inme\yok\14128.png,0
inme\var_iskemi/PNG\13448.png,1
inme\var_iskemi/PNG\13158.png,1
inme\var_iskemi/PNG\16355.png,1
inme\var_kanama/PNG\10853.png,1
inme\var_kanama/PNG\11834.png,1
inme\yok\11912.png,0
inme\yok\10392.png,0
inme\yok\12605.png,0
inme\yok\11167.png,0
inme\var_iskemi/PNG\14505.png,1
inme\yok\15068.png,0
inme\yok\16619.png,0
inme\yok\13472.png,0
inme\var_kanama/PNG\13875.png,1
inme\var_kanama/PNG\10688.png,1
inme\var_iskemi/PNG\10697.png,1
inme\yok\10198.png,0
inme\var_kanama/PNG\16004.png,1
inme\yok\15780.png,0
inme\yok\14135.png,0
inme\yok\15908.png,0
inme\yok\11486.png,0
inme\yok\13547.png,0
inme\yok\12023.png,0
inme\yok\11795.png,0
inme\var_kanama/PNG\13883.png,1
inme\yok\12163.png,0
inme\yok\14759.png,0
inme\var_iskemi/PNG\14799.png,1
inme\yok\14559.png,0
inme\yok\13699.png,0
inme\yok\15764.png,0
inme\yok\15585.png,0
inme\var_kanama/PNG\14782.png,1
inme\yok\12594.png,0
inme\yok\10115.png,0
inme\var_kanama/PNG\16818.png,1
inme\var_kanama/PNG\12627.png,1
inme\yok\10260.png,0
