filepath,label
inme\yok_clean\11922.png,0
inme\yok_clean\14118.png,0
inme\yok_clean\10659.png,0
inme\yok_clean\15285.png,0
inme\var_kanama_clean\11798.png,1
inme\var_kanama_clean\10955.png,1
inme\var_iskemi_clean\13301.png,1
inme\var_kanama_clean\16187.png,1
inme\yok_clean\10247.png,0
inme\yok_clean\11731.png,0
inme\yok_clean\14837.png,0
inme\yok_clean\14898.png,0
inme\yok_clean\12730.png,0
inme\yok_clean\11148.png,0
inme\var_iskemi_clean\14815.png,1
inme\var_iskemi_clean\14445.png,1
inme\var_iskemi_clean\13772.png,1
inme\yok_clean\10581.png,0
inme\yok_clean\16318.png,0
inme\yok_clean\13465.png,0
inme\yok_clean\11945.png,0
inme\yok_clean\11706.png,0
inme\var_kanama_clean\10788.png,1
inme\yok_clean\12801.png,0
inme\yok_clean\12504.png,0
inme\yok_clean\15537.png,0
inme\var_iskemi_clean\13833.png,1
inme\var_kanama_clean\13270.png,1
inme\var_kanama_clean\15257.png,1
inme\var_kanama_clean\12443.png,1
inme\yok_clean\12069.png,0
inme\yok_clean\15073.png,0
inme\yok_clean\16879.png,0
inme\var_iskemi_clean\15328.png,1
inme\yok_clean\12421.png,0
inme\var_kanama_clean\16996.png,1
inme\yok_clean\14592.png,0
inme\yok_clean\12354.png,0
inme\yok_clean\15002.png,0
inme\yok_clean\13098.png,0
inme\yok_clean\11923.png,0
inme\var_kanama_clean\13335.png,1
inme\yok_clean\11383.png,0
inme\var_kanama_clean\10816.png,1
inme\yok_clean\12748.png,0
inme\yok_clean\13419.png,0
inme\yok_clean\15508.png,0
inme\var_iskemi_clean\15121.png,1
inme\yok_clean\13534.png,0
inme\var_kanama_clean\10719.png,1
inme\yok_clean\13001.png,0
inme\yok_clean\14374.png,0
inme\var_kanama_clean\16004.png,1
inme\yok_clean\15867.png,0
inme\var_kanama_clean\13566.png,1
inme\yok_clean\16393.png,0
inme\yok_clean\11610.png,0
inme\var_kanama_clean\15609.png,1
inme\var_kanama_clean\11715.png,1
inme\yok_clean\15883.png,0
inme\var_iskemi_clean\12912.png,1
inme\yok_clean\13663.png,0
inme\yok_clean\12805.png,0
inme\var_iskemi_clean\14494.png,1
inme\var_iskemi_clean\13480.png,1
inme\yok_clean\15793.png,0
inme\yok_clean\13726.png,0
inme\var_iskemi_clean\10690.png,1
inme\yok_clean\11901.png,0
inme\var_iskemi_clean\16592.png,1
inme\var_kanama_clean\15372.png,1
inme\var_iskemi_clean\10323.png,1
inme\var_iskemi_clean\14962.png,1
inme\var_kanama_clean\12231.png,1
inme\yok_clean\13721.png,0
inme\yok_clean\13711.png,0
inme\yok_clean\14366.png,0
inme\yok_clean\10711.png,0
